Latitude,Longitude,Genus,Date.Planted,Diameter.Breast.Height,Useful.Life.Expectancy.Value,Located.in,Year.Planted
-37.81082703,144.9791593,Melaleuca,14/10/1998,78,30,Park,1998
-37.8119724,144.981312,Araucaria,16/10/1998,83,60,Park,1998
-37.81596948,144.9781862,Pittosporum,10/12/1998,7,10,Park,1998
-37.81208588,144.9795527,Phoenix,16/10/1998,87,60,Park,1998
-37.81451539,144.977743,Ulmus,10/12/1998,136,20,Park,1998
-37.81297214,144.9800807,Washingtonia,1/01/2000,31,60,Park,2000
-37.8140793,144.9819607,Phoenix,13/10/1998,77,60,Park,1998
-37.81239966,144.978628,Platanus,14/10/1998,85,20,Park,1998
-37.81293395,144.9767957,Phoenix,2/01/2000,65,60,Park,1900
-37.81598701,144.9783462,Pittosporum,10/12/1998,8,10,Park,1998
-37.81403778,144.9765637,Eucalyptus,1/01/2000,102,30,Park,1900
-37.81426076,144.9756057,Ulmus,16/10/1998,115,5,Park,1998
-37.81281245,144.979471,Platanus,14/10/1998,70,5,Park,1998
-37.81521353,144.9779792,Fraxinus,10/12/1998,32,60,Park,1998
-37.81438962,144.9765703,Ulmus,16/10/1998,142,10,Park,1998
-37.81575749,144.9781318,Ulmus,10/12/1998,68,5,Street,1998
-37.81451108,144.9756567,Corymbia,1/01/2000,52,60,Park,1900
-37.81603953,144.9785603,Pittosporum,10/12/1998,15,10,Park,1998
-37.81072555,144.9809346,Ulmus,14/10/1998,91,10,Park,1998
-37.81515575,144.9770918,Phoenix,2/01/2000,94,60,Park,1900
-37.81247684,144.9797806,Lagunaria,2/01/2000,45,30,Park,1900
-37.81524728,144.9811748,Ulmus,,5,80,Park,NA
-37.81152578,144.9789689,Sequoia,14/10/1998,39,60,Park,1998
-37.81607197,144.9771279,Ulmus,10/12/1998,17,60,Park,1998
-37.81413708,144.9774074,Ulmus,16/10/1998,119,20,Park,1998
-37.81260216,144.9812078,Platanus,16/10/1998,36,60,Park,1998
-37.81582979,144.9767429,Ulmus,10/12/1998,37,30,Park,1998
-37.81342803,144.9754202,Quercus,1/01/2000,99,60,Park,1900
-37.81116169,144.9796927,Pinus,14/10/1998,123,60,Park,1998
-37.81226503,144.9784972,Hesperocyparis,14/10/1998,47,20,Park,1998
-37.81305733,144.9777825,Corymbia,21/11/1997,29,60,Street,1997
-37.81644456,144.9822515,Ficus,10/12/1998,82,20,Park,1998
-37.81095413,144.9756303,Platanus,21/11/1997,40,10,Street,1997
-37.81249614,144.9801908,Syzygium,2/01/2000,62,30,Park,1900
-37.81401058,144.9794878,Livistona,13/10/1998,32,60,Park,1998
-37.81647732,144.9802831,Pinus,10/09/1998,71,60,Park,1998
-37.81639114,144.9779764,Platanus,20/11/1997,60,20,Street,1997
-37.81461416,144.9819609,Quercus,13/10/1998,39,60,Park,1998
-37.81237531,144.9794516,Ulmus,20/10/1998,13,80,Park,1998
-37.81150647,144.9803224,Ginkgo,19/03/2010,3,80,Park,2010
-37.81233471,144.9824706,Cupressus,16/10/1998,71,60,Park,1998
-37.81152837,144.980601,Ulmus,14/10/1998,100,20,Park,1998
-37.81317172,144.9777635,Corymbia,21/11/1997,39,60,Street,1997
-37.81572022,144.9811014,Araucaria,13/10/1998,88,60,Park,1998
-37.81352728,144.9810639,Cedrus,16/10/1998,89,30,Park,1998
-37.81271292,144.979595,Ulmus,14/10/1998,102,5,Park,1998
-37.81595262,144.9779814,Pittosporum,10/12/1998,8,10,Park,1998
-37.81410297,144.9829264,Ulmus,25/11/1997,74,10,Street,1997
-37.81430374,144.9809016,Ulmus,13/10/1998,134,10,Park,1998
-37.81384573,144.9823556,Cedrus,13/10/1998,99,30,Park,1998
-37.8128874,144.9794956,Platanus,14/10/1998,82,10,Park,1998
-37.81207316,144.9805453,Ulmus,14/10/1998,100,20,Park,1998
-37.81169689,144.9797503,Ulmus,14/10/1998,30,80,Park,1998
-37.8119501,144.9769461,Platanus,21/11/1997,10,30,Street,1997
-37.81656152,144.9792917,Platanus,26/11/1997,56,10,Street,1997
-37.81349852,144.9803694,Syzygium,2/01/2000,84,30,Park,1900
-37.81522858,144.9774231,Corymbia,21/11/1997,36,60,Street,1997
-37.81630456,144.9773164,Platanus,20/11/1997,70,10,Street,1997
-37.81563822,144.9801138,Livistona,2/01/2000,30,60,Park,1900
-37.81089726,144.9807527,Ulmus,14/10/1998,104,10,Park,1998
-37.8120041,144.9760031,Platanus,21/11/1997,42,10,Street,1997
-37.81540111,144.9782391,Corymbia,10/12/1998,68,30,Park,1998
-37.81537032,144.9783194,Araucaria,10/12/1998,99,60,Park,1998
-37.81272443,144.9783021,Lophostemon,14/10/1998,37,10,Park,1998
-37.8106258,144.9812771,Ficus,15/10/1998,161,30,Park,1998
-37.81142409,144.9823194,Jacaranda,2/01/2000,50,20,Park,1900
-37.8138414,144.9771608,Ulmus,16/10/1998,148,30,Park,1998
-37.81245719,144.9816298,Quercus,15/10/1998,24,30,Park,1998
-37.81396246,144.9763762,Syzygium,2/01/2000,105,60,Park,1900
-37.81528144,144.9818059,Ulmus,13/10/1998,117,10,Park,1998
-37.81149759,144.9823333,Phoenix,2/01/2000,34,10,Park,1900
-37.8128454,144.9775798,Ulmus,16/10/1998,119,20,Park,1998
-37.81191953,144.978587,Grevillea,14/10/1998,71,30,Park,1998
-37.81237128,144.9806298,Ulmus,14/10/1998,119,20,Park,1998
-37.81416119,144.9757113,Ficus,16/10/1998,61,30,Park,1998
-37.81414483,144.9759341,Cedrus,16/10/1998,68,20,Park,1998
-37.81374337,144.9828088,Magnolia,14/07/2000,15,60,Park,2000
-37.81344913,144.9803638,Pittosporum,14/10/1998,28,20,Park,1998
-37.81589145,144.9757425,Ulmus,10/12/1998,67,10,Park,1998
-37.81268317,144.9805922,Ulmus,14/10/1998,32,10,Park,1998
-37.81601823,144.9776243,Ulmus,10/12/1998,72,20,Park,1998
-37.81161037,144.9814258,Cordyline,2/01/2000,24,10,Park,1900
-37.81617007,144.9763602,Platanus,20/11/1997,81,10,Street,1997
-37.81432986,144.978647,Brahea,13/10/1998,70,60,Park,1998
-37.81586775,144.9821221,Syzygium,2/01/2000,38,10,Park,1900
-37.81536496,144.9822258,Quercus,13/10/1998,27,80,Park,1998
-37.8151968,144.9763499,Lagunaria,2/01/2000,58,30,Park,1900
-37.81571648,144.9814827,Stenocarpus,13/10/1998,30,30,Park,1998
-37.81463642,144.9772972,Ulmus,16/10/1998,131,20,Park,1998
-37.81508048,144.9822636,Pinus,13/10/1998,110,20,Park,1998
-37.81131195,144.9813077,Quercus,12/12/2006,5,80,Park,2006
-37.8145208,144.9763588,Ficus,16/10/1998,226,60,Park,1998
-37.81616056,144.977779,Ulmus,10/12/1998,13,60,Park,1998
-37.8165522,144.9809811,Pinus,10/09/1998,82,60,Park,1998
-37.81250671,144.982011,Ulmus,16/10/1998,94,10,Park,1998
-37.81549218,144.9814357,Ficus,13/10/1998,208,60,Park,1998
-37.81220093,144.9792833,Ulmus,14/10/1998,126,10,Park,1998
-37.81188127,144.9803486,Cupressus,14/10/1998,98,30,Park,1998
-37.81615559,144.9762254,Platanus,20/11/1997,64,20,Street,1997
-37.81295471,144.9783925,Melaleuca,14/10/1998,83,30,Park,1998
-37.81136125,144.9810403,Acer,2/01/2000,34,60,Park,1900
-37.81182451,144.9807388,Ulmus,14/10/1998,105,20,Park,1998
-37.81095199,144.9796982,Ficus,14/10/1998,211,60,Park,1998
-37.81138264,144.981247,Quercus,1/01/2000,78,60,Park,1900
-37.8109192,144.9817116,Araucaria,15/10/1998,21,80,Park,1998
-37.81328272,144.9812279,Populus,15/10/1998,118,10,Park,1998
-37.81097073,144.9767746,Platanus,1/01/2000,23,30,Street,2000
-37.81158515,144.9755108,Platanus,21/11/1997,32,20,Street,1997
-37.81462585,144.9800727,Ulmus,13/10/1998,146,10,Park,1998
-37.81149928,144.9755222,Platanus,21/11/1997,46,20,Street,1997
-37.81229488,144.9791913,Ulmus,14/10/1998,105,10,Park,1998
-37.81604262,144.9787405,Pittosporum,10/12/1998,20,30,Park,1998
-37.81584379,144.976829,Ulmus,10/12/1998,36,30,Park,1998
-37.81313393,144.9764499,Agonis,16/10/1998,101,20,Park,1998
-37.81268821,144.9790791,Platanus,14/10/1998,81,5,Park,1998
-37.81635805,144.9777285,Platanus,20/11/1997,73,10,Street,1997
-37.81301273,144.9826375,Araucaria,16/10/1998,106,60,Park,1998
-37.81145385,144.9817,Tristaniopsis,,56,30,Park,NA
-37.81318809,144.9803866,Washingtonia,14/10/1998,30,60,Park,1998
-37.8165878,144.9795633,Platanus,26/11/1997,56,20,Street,1997
-37.81220242,144.9781204,Ulmus,14/10/1998,129,20,Park,1998
-37.81327084,144.976787,Populus,16/10/1998,101,20,Park,1998
-37.81493709,144.9783435,Ulmus,1/01/2000,147,10,Park,2000
-37.81466973,144.9812442,Ulmus,13/10/1998,113,5,Park,1998
-37.81466051,144.9802439,Ulmus,13/10/1998,106,5,Park,1998
-37.81170295,144.9822896,Ligustrum,15/10/1998,68,20,Park,1998
-37.81615258,144.978857,Lophostemon,10/12/1998,54,30,Park,1998
-37.81489511,144.9807501,Ulmus,,8,80,Park,NA
-37.81224198,144.982234,Ulmus,15/10/1998,124,10,Park,1998
-37.81131012,144.9793463,Metasequoia,1/01/2000,29,80,Park,2000
-37.81621115,144.9787571,Ulmus,10/12/1998,17,60,Park,1998
-37.81366629,144.9753882,Ficus,1/01/2000,197,20,Park,2000
-37.81427753,144.980109,Ulmus,13/10/1998,132,20,Park,1998
-37.81603837,144.9785925,Pittosporum,10/12/1998,16,20,Park,1998
-37.81494037,144.9779417,Ulmus,10/12/1998,148,20,Park,1998
-37.81196248,144.9770529,Platanus,21/11/1997,44,30,Street,1997
-37.81354263,144.978665,Livistona,13/10/1998,34,60,Park,1998
-37.81522911,144.9825333,Harpephyllum,30/04/2007,36,80,Park,2007
-37.81594208,144.9761506,Ulmus,10/12/1998,78,10,Park,1998
-37.81481055,144.9783164,Ulmus,10/12/1998,163,20,Park,1998
-37.81491505,144.9806305,Ulmus,,7,80,Park,NA
-37.81295046,144.9824747,Populus,16/10/1998,84,10,Park,1998
-37.81422058,144.9818699,Quercus,5/06/2007,3,80,Park,2007
-37.81593069,144.977827,Pittosporum,10/12/1998,12,20,Park,1998
-37.81264195,144.9804171,Phoenix,14/10/1998,70,60,Park,1998
-37.81215035,144.9827773,Araucaria,16/10/1998,76,60,Park,1998
-37.81317663,144.9775557,Cercis,2/01/2000,37,30,Park,1900
-37.8157394,144.975768,Eucalyptus,10/12/1998,35,30,Park,1998
-37.81481283,144.9750458,Ulmus,16/10/1998,129,5,Park,1998
-37.81063279,144.9802973,Araucaria,14/10/1998,38,60,Park,1998
-37.81602182,144.9784214,Pittosporum,10/12/1998,9,20,Park,1998
-37.8123076,144.9821296,Ulmus,15/10/1998,94,5,Park,1998
-37.81060737,144.9809587,Ulmus,14/10/1998,140,10,Park,1998
-37.81555595,144.9792689,Phoenix,10/12/1998,72,60,Park,1998
-37.81518588,144.9776389,Ulmus,10/12/1998,128,20,Park,1998
-37.81553847,144.9801096,Ulmus,13/10/1998,123,10,Park,1998
-37.81125342,144.9831302,Phoenix,15/10/1998,66,60,Park,1998
-37.8133565,144.9830513,Ulmus,25/11/1997,68,10,Street,1997
-37.81189223,144.9764151,Platanus,21/11/1997,30,10,Street,1997
-37.8163946,144.9796113,Pinus,10/09/1998,82,60,Park,1998
-37.815707,144.9776475,Schinus,10/12/1998,131,60,Street,1998
-37.81355579,144.9828221,Magnolia,2/01/2000,13,60,Park,1900
-37.81304405,144.9775128,Ulmus,2/01/2000,77,60,Park,1900
-37.81270978,144.9775955,Phoenix,16/10/1998,62,60,Park,1998
-37.81066541,144.9814428,Ficus,2/01/2000,164,30,Park,1900
-37.8157519,144.9760439,Eucalyptus,10/12/1998,84,60,Park,1998
-37.81353312,144.9777073,Corymbia,1/01/2000,26,60,Street,1900
-37.81237876,144.9792797,Ulmus,14/10/1998,113,20,Park,1998
-37.81073471,144.9781753,Corymbia,1/01/2000,12,80,Street,1900
-37.81181055,144.9795937,Agathis,1/01/2000,22,80,Park,2000
-37.81170141,144.979404,Pinus,14/10/1998,123,60,Park,1998
-37.81611986,144.9790454,Corymbia,1/01/2000,45,60,Street,1900
-37.81268844,144.9784944,Platanus,14/10/1998,92,20,Park,1998
-37.81332823,144.9802506,Araucaria,2/01/2000,116,60,Park,1900
-37.81101426,144.9827419,Tilia,15/10/1998,49,60,Park,1998
-37.81316024,144.9801185,Ulmus,14/10/1998,124,10,Park,1998
-37.81099258,144.97695,Platanus,1/01/2000,18,30,Street,2000
-37.81431657,144.9770655,Ulmus,20/01/2006,9,80,Park,2006
-37.81550707,144.9792039,Platanus,10/12/1998,25,80,Park,1998
-37.81396005,144.9787281,Brahea,13/07/2000,50,60,Park,2000
-37.81243832,144.9819116,Ulmus,15/10/1998,98,10,Park,1998
-37.81154618,144.9827284,Phoenix,1/01/2000,110,80,Park,2000
-37.81336424,144.9771982,Ficus,12/12/2006,14,80,Park,2006
-37.81397733,144.9814689,Pyrus,13/10/1998,42,30,Park,1998
-37.81502383,144.9809671,Ulmus,,5,80,Park,NA
-37.81105372,144.982073,Ulmus,15/10/1998,108,5,Park,1998
-37.81602246,144.9786421,Pittosporum,10/12/1998,18,20,Park,1998
-37.81653652,144.9808498,Pinus,10/09/1998,65,60,Park,1998
-37.81476001,144.9820055,Quercus,13/10/1998,59,60,Park,1998
-37.81269071,144.9823464,Brachychiton,16/10/1998,54,60,Park,1998
-37.81580384,144.9765653,Ulmus,10/12/1998,37,30,Park,1998
-37.81443902,144.9802559,Ulmus,13/10/1998,110,10,Park,1998
-37.81311119,144.9769044,Cedrus,20/01/2006,15,80,Park,2006
-37.8159603,144.9779086,Pittosporum,10/12/1998,17,30,Park,1998
-37.81475489,144.9796576,Tilia,10/12/1998,61,30,Park,1998
-37.81196077,144.9805655,Ulmus,14/10/1998,113,20,Park,1998
-37.81465892,144.9804091,Agathis,,7,80,Park,NA
-37.81539119,144.9795513,Tilia,2/01/2000,49,30,Park,1900
-37.81158308,144.9787316,Ulmus,14/10/1998,120,10,Park,1998
-37.81237569,144.9820223,Ulmus,15/10/1998,116,20,Park,1998
-37.81355631,144.9815063,Cedrus,16/10/1998,68,20,Park,1998
-37.81305113,144.9823381,Thuja,16/10/1998,75,60,Park,1998
-37.8148756,144.979513,Araucaria,10/12/1998,105,60,Park,1998
-37.81359925,144.9753412,Ficus,16/10/1998,208,60,Park,1998
-37.81299529,144.9828715,Brachychiton,14/07/2000,34,60,Park,2000
-37.8146074,144.9755355,Phoenix,1/01/2000,71,60,Park,1900
-37.81595269,144.9778595,Pittosporum,10/12/1998,11,10,Park,1998
-37.81143754,144.9826573,Grevillea,2/01/2000,60,20,Park,1900
-37.81628644,144.9771795,Platanus,20/11/1997,80,20,Street,1997
-37.81293105,144.9795871,Platanus,14/10/1998,82,10,Park,1998
-37.81437076,144.9790191,Ulmus,10/12/1998,25,60,Park,1998
-37.81495449,144.9800242,Ulmus,10/12/1998,130,10,Park,1998
-37.81573308,144.9811998,Schinus,13/10/1998,101,60,Park,1998
-37.81515101,144.9800017,Ulmus,10/12/1998,124,5,Park,1998
-37.81406295,144.9809018,Ulmus,13/10/1998,121,10,Park,1998
-37.81221844,144.9783763,Cedrus,14/10/1998,80,30,Park,1998
-37.81494999,144.9758582,Agathis,16/10/1998,85,60,Park,1998
-37.81441763,144.9812156,Ulmus,13/10/1998,105,10,Park,1998
-37.81143702,144.9800144,Ulmus,1/01/2000,22,80,Park,2000
-37.81440534,144.9772177,Ulmus,20/01/2006,5,80,Park,2006
-37.81598227,144.9780967,Pittosporum,10/12/1998,13,20,Park,1998
-37.81225122,144.9824369,Ulmus,16/10/1998,122,10,Park,1998
-37.81413103,144.9807461,Ulmus,13/10/1998,111,10,Park,1998
-37.81318769,144.9817617,Quercus,16/10/1998,67,30,Park,1998
-37.81061408,144.9783873,Ulmus,14/10/1998,100,20,Park,1998
-37.81329244,144.9800504,Ulmus,14/10/1998,117,5,Park,1998
-37.81390147,144.9749411,Aesculus,16/10/1998,39,20,Park,1998
-37.81524752,144.9824403,Phoenix,13/10/1998,73,60,Park,1998
-37.81290793,144.9797205,Ulmus,14/10/1998,100,5,Park,1998
-37.81565795,144.9821112,Ulmus,13/10/1998,126,10,Park,1998
-37.8149831,144.9825553,Agathis,20/07/2010,1,80,Park,2010
-37.81077251,144.9802049,Populus,14/10/1998,102,20,Park,1998
-37.81376601,144.9794359,Quercus,13/10/1998,67,60,Park,1998
-37.81523261,144.9767132,Lophostemon,16/10/1998,78,60,Park,1998
-37.81224973,144.9800843,Tilia,14/10/1998,52,30,Park,1998
-37.81624617,144.9769079,Platanus,20/11/1997,55,10,Street,1997
-37.81333276,144.9754823,Phoenix,1/01/2000,60,60,Park,1900
-37.81585078,144.9754636,Ulmus,10/12/1998,73,30,Park,1998
-37.8142218,144.9749228,Ulmus,2/01/2000,133,10,Park,1900
-37.81594653,144.9777996,Pittosporum,10/12/1998,18,30,Park,1998
-37.81424815,144.9819746,Quercus,5/06/2007,5,80,Park,2007
-37.81289089,144.9780139,Ulmus,14/10/1998,128,20,Park,1998
-37.81170658,144.9826912,Butia,15/10/1998,52,60,Park,1998
-37.81636256,144.9794142,Corymbia,10/09/1998,58,30,Park,1998
-37.81538234,144.9818883,Ulmus,13/10/1998,123,10,Park,1998
-37.81355538,144.9816832,Cedrus,16/10/1998,101,30,Park,1998
-37.81406079,144.9810491,Phoenix,13/10/1998,75,60,Park,1998
-37.81597213,144.9780047,Pittosporum,10/12/1998,17,30,Park,1998
-37.81195756,144.9830597,Quercus,14/07/2000,33,80,Park,2000
-37.81284227,144.9804317,Ulmus,14/10/1998,19,10,Park,1998
-37.81597642,144.9782495,Pittosporum,10/12/1998,13,20,Park,1998
-37.81169626,144.9750023,Quercus,21/11/1997,73,60,Park,1997
-37.81303244,144.9772045,Celtis,16/10/1998,63,30,Park,1998
-37.81316962,144.9826,Stenocarpus,16/10/1998,50,20,Park,1998
-37.81495192,144.9808675,Ulmus,,7,80,Park,NA
-37.81261309,144.9828864,Araucaria,14/07/2000,20,80,Park,2000
-37.81164811,144.979848,Cordyline,14/10/1998,40,30,Park,1998
-37.8120744,144.9804491,Ficus,14/10/1998,230,60,Park,1998
-37.81383126,144.976796,Corymbia,26/11/2008,7,80,Park,2008
-37.81409686,144.9756389,Cedrus,16/10/1998,79,30,Park,1998
-37.81237845,144.9823939,Pinus,16/10/1998,103,60,Park,1998
-37.81600815,144.9785015,Pittosporum,10/12/1998,17,20,Park,1998
-37.81129563,144.9819333,Jacaranda,15/10/1998,36,60,Park,1998
-37.81458683,144.9747532,Phoenix,13/07/2000,54,60,Park,2000
-37.81306354,144.9788369,Ginkgo,6/06/2007,5,80,Park,2007
-37.81468518,144.9777122,Ulmus,10/12/1998,122,10,Park,1998
-37.81460764,144.977983,Ulmus,10/12/1998,167,20,Park,1998
-37.813155,144.981011,Ulmus,15/10/1998,37,60,Park,1998
-37.81574221,144.9755168,Corymbia,10/12/1998,27,30,Park,1998
-37.81398317,144.9776285,Corymbia,1/01/2000,29,60,Street,1900
-37.81136767,144.9795544,Metasequoia,1/01/2000,23,80,Park,2000
-37.81596302,144.9781146,Pittosporum,10/12/1998,11,20,Park,1998
-37.81581391,144.978552,Ulmus,10/12/1998,67,5,Street,1998
-37.81612357,144.9787737,Ulmus,10/12/1998,18,80,Park,1998
-37.81625898,144.9784667,Ulmus,10/12/1998,82,20,Park,1998
-37.81608627,144.9782598,Ulmus,10/12/1998,15,1,Park,1998
-37.81499596,144.9770437,Phoenix,2/01/2000,72,60,Park,1900
-37.81300932,144.9798105,Ulmus,14/10/1998,143,10,Park,1998
-37.81409922,144.980326,Ulmus,13/10/1998,112,10,Park,1998
-37.81605005,144.9786483,Pittosporum,10/12/1998,15,20,Park,1998
-37.81391834,144.9754348,Ficus,16/10/1998,150,20,Park,1998
-37.8136013,144.9768864,Carpinus,16/10/1998,49,10,Park,1998
-37.81235039,144.9830284,Stenocarpus,16/10/1998,23,60,Park,1998
-37.81456608,144.9806023,Tilia,13/10/1998,82,20,Park,1998
-37.81643685,144.9816385,Ulmus,,45,20,Park,NA
-37.81216378,144.9805268,Ulmus,14/10/1998,100,20,Park,1998
-37.81498728,144.9749976,Ulmus,16/10/1998,121,10,Park,1998
-37.81287475,144.9824527,Prunus,16/10/1998,43,20,Park,1998
-37.81452347,144.9828536,Ulmus,25/11/1997,77,20,Street,1997
-37.8132935,144.9816732,Quercus,12/12/2006,4,80,Park,2006
-37.81601384,144.9829324,Platanus,25/11/1997,36,10,Street,1997
-37.81218856,144.9814095,Quercus,16/10/1998,57,60,Park,1998
-37.8119534,144.9788592,Ulmus,14/10/1998,121,5,Park,1998
-37.81385732,144.9803667,Ulmus,13/10/1998,94,10,Park,1998
-37.8151229,144.9781225,Populus,10/12/1998,103,20,Park,1998
-37.81543563,144.9790686,Schinus,10/12/1998,201,60,Park,1998
-37.8120941,144.9826707,Ulmus,16/10/1998,107,10,Park,1998
-37.81347997,144.9762713,Populus,1/01/2000,87,5,Park,1900
